Customer,Customer Name,Posting Date,Document Number,Document Type,Document Type Description,Text,Bill No./Ref. No.,Debit Amount,Credit Amount
70000459,,2026-07-20 00:00:00,2400039806,RW,,,1193178894,-66129,-66129
70000678,,2026-07-20 00:00:00,15013674,DG,,Card charges from Apr'26 to Jun'26,,-20499.13,-20499.13
70000731,,2026-07-20 00:00:00,15013691,DG,,Card charges from Apr'26 to Jun'26,,-18777.76,-18777.76
70000779,,2026-07-20 00:00:00,15013684,DG,,Card charges from Apr'26 to Jun'26,,-28997.38,-28997.38
70000780,,2026-07-20 00:00:00,15013677,DG,,Card charges from Apr'26 to Jun'26,,-63323.13,-63323.13
70000801,,2026-07-20 00:00:00,15013689,DG,,Card charges from Apr'26 to Jun'26,,-3119.31,-3119.31
70000861,,2026-07-20 00:00:00,15013683,DG,,Card charges from Apr'26 to Jun'26,,-3531,-3531
70000862,,2026-07-20 00:00:00,15013681,DG,,Card charges from Apr'26 to Jun'26,,-5241.4,-5241.4
70000876,,2026-07-20 00:00:00,15013685,DG,,Card charges from Apr'26 to Jun'26,,-15912.55,-15912.55
70000877,,2026-07-20 00:00:00,15013673,DG,,Card charges from Apr'26 to Jun'26,,-5688,-5688
70000887,,2026-07-20 00:00:00,15013679,DG,,Card charges from Apr'26 to Jun'26,,-2639.5,-2639.5
70000898,,2026-07-20 00:00:00,15013676,DG,,Card charges from Apr'26 to Jun'26,,-3360.56,-3360.56
70000384,,2026-07-21 00:00:00,1300000083,DA,,41937258TERMINAL 1 CARDS SETTL. 20/07/26,,33072.31,33072.31
70000384,,2026-07-21 00:00:00,1300000084,DA,,41937259TERMINAL 1 CARDS SETTL. 20/07/26,,10585.81,10585.81
70000636,,2026-07-21 00:00:00,1300000088,DA,,42665637TERMINAL 1 CARDS SETTL. 20/07/26,,54999.94,54999.94
70000636,,2026-07-21 00:00:00,1300000089,DA,,UPI SETTLEMENT -ERF905- 20/07/26,,19,19
70000458,,2026-07-23 00:00:00,2400042214,RW,,,1192318080,-61425,-61425
70000458,,2026-07-23 00:00:00,2400042215,RW,,,1192318081,-56594,-56594
70000877,,2026-07-23 00:00:00,2400042465,RW,,,1192318331,-64113,-64113
